"","Season","Farm.CODE","PLOT.CODE","TREATMENT","NEW.TREATMENT","PLANT.COUNT","NO..OF.COBS","yield.t.ha","stov.t.ha","Comments"
"101","LR2018","F21","F21P1/SS1","Control","PK",30,5,0.160675105485232,0.512934074074074,"very poor performance"
"102","LR2018","F21","F21P1/SS2","Control","NK",36,0,NA,0.496533333333333,"very poor performance"
"103","LR2018","F21","F21P1/SS3","Control","NP",38,23,1.69468756335283,3.25462962962963,"average performance"
"104","LR2018","F21","F21P1/SS4","Control","NPK",37,19,1.58587169811321,2.81766666666667,"average performance"
"105","LR2018","F21","F21P2/SS1","PK","PK",31,10,0.273066666666667,0.9393,"very poor performance"
"106","LR2018","F21","F21P2/SS2","PK","NK",37,26,1.86375757575758,2.56122222222222,"very poor performance"
"107","LR2018","F21","F21P2/SS3","PK","NP",41,25,3.18816603773585,3.68888888888889,"average performance"
"108","LR2018","F21","F21P2/SS4","PK","NPK",34,31,3.3944895700298,4.05185185185185,"average performance"
"109","LR2018","F21","F21P3/SS1","NK","PK",28,11,0.639734539969834,1.22796296296296,"poor performance"
"110","LR2018","F21","F21P3/SS2","NK","NK",36,1,0.0277037037037037,0.708888888888889,"poor performance"
"111","LR2018","F21","F21P3/SS3","NK","NP",37,30,2.90405343047966,3.74088888888889,"Good performance but some termite damage"
"112","LR2018","F21","F21P3/SS4","NK","NPK",31,21,2.4230925539318,2.98213333333333,"Good performance but some termite damage"
"113","LR2018","F21","F21P4/SS1","NP","PK",29,12,0.951904273504274,1.26111111111111,"poor performance"
"114","LR2018","F21","F21P4/SS2","NP","NK",32,26,1.14547263681592,1.64577777777778,"average performance"
"115","LR2018","F21","F21P4/SS3","NP","NP",37,12,1.15480139762404,2.78585185185185,"average performance"
"116","LR2018","F21","F21P4/SS4","NP","NPK",43,30,3.18816850438224,2.71036296296296,"average performance"
"117","LR2018","F21","F21P5/SS1","NPK","PK",22,7,0.326392009987516,0.862037037037037,"poor performance"
"118","LR2018","F21","F21P5/SS2","NPK","NK",41,34,2.24212322274882,2.79751111111111,"average performance"
"119","LR2018","F21","F21P5/SS3","NPK","NP",40,30,3.39555555555556,2.87404444444444,"average performance"
"120","LR2018","F21","F21P5/SS4","NPK","NPK",41,33,3.49032219211081,4.78891851851852,"average performance"
