"","FARMCODE","TRT","TRIALTYPE","SEASON_NR","PK_Y_FM","NPK_Y_FM","PK_NS","NPK_NS","Nrec"
"257","F18","NK","RESTORATION",9,3.21547201267779,3.35111000000002,41.8746790444701,46.4741336633666,0.0306630307926433
"357","F18","NK","RESTORATION",10,3.78346707434447,4.02589000000003,48.3883838800971,54.8253712871291,0.0429132493802131
"439","F18","NK","RESTORATION",11,4.35146213601114,4.70067000000004,54.9020887157241,63.1766089108915,0.0551634679677831
"158","F19","NK","RESTORATION",8,3.77497695101112,3.80383000000001,48.2910200804027,52.0771039603962,0.0252405591999563
"258","F19","NK","RESTORATION",9,4.34297201267779,4.47861000000002,54.8047249160297,60.4283415841587,0.0374907777875262
"358","F19","NK","RESTORATION",10,4.91096707434446,5.15339000000003,61.3184297516567,68.7795792079211,0.0497409963750962
"440","F19","NK","RESTORATION",11,5.47896213601114,5.82817000000003,67.8321345872837,77.1308168316836,0.061991214962666
"159","F9","NK","RESTORATION",8,4.09080695101111,4.11966,51.9129237501274,55.9858910891089,0.0271531155932103
"259","F9","NK","RESTORATION",9,4.65880201267778,4.79444000000001,58.4266285857544,64.3371287128714,0.0394033341807802
"359","F9","NK","RESTORATION",10,5.22679707434446,5.46922000000002,64.9403334213814,72.6883663366339,0.0516535527683501
"441","F9","NK","RESTORATION",11,5.79479213601113,6.14400000000002,71.4540382570083,81.0396039603963,0.06390377135592
"160","F17","NP","NOT-SUBPLOTS",9,4.96263337820001,5.90830793843334,61.9109332362386,78.1226230004127,0.10807793176116
"260","F17","NP","NOT-SUBPLOTS",10,4.17009791243334,5.22255741100001,52.8222237664374,69.6356115222773,0.1120892517056
"360","F17","NP","NOT-SUBPLOTS",11,3.37756244666667,4.53680688356667,43.7335142966361,61.148600044142,0.116100571650039
"161","F23","NP","NOT-SUBPLOTS",9,5.90963782266667,6.05219893750001,72.7710759480123,79.9034521967823,0.0475491749917999
"261","F23","NP","NOT-SUBPLOTS",10,5.1171023569,5.36644841006667,63.682366478211,71.416440718647,0.0515604949362394
"361","F23","NP","NOT-SUBPLOTS",11,4.32456689113333,4.68069788263334,54.5936570084098,62.9294292405116,0.0555718148806788
"162","F24","NP","NOT-SUBPLOTS",9,4.45098624013334,4.45669797216668,56.0434201850154,60.1571531208747,0.0274248862390622
"262","F24","NP","NOT-SUBPLOTS",10,3.65845077436667,3.77094744473334,46.9547107152141,51.6701416427394,0.0314362061835018
"362","F24","NP","NOT-SUBPLOTS",11,2.8659153086,3.08519691730001,37.8660012454128,43.183130164604,0.0354475261279412
"163","F5","NP","NOT-SUBPLOTS",9,4.00116078546667,3.52532926290001,50.8848713929664,48.6303126596536,-0.0150303915554191
"263","F5","NP","NOT-SUBPLOTS",10,3.2086253197,2.83957873546667,41.7961619231652,40.1433011815182,-0.0110190716109795
"363","F5","NP","NOT-SUBPLOTS",11,2.41608985393333,2.15382820803334,32.7074524533639,31.6562897033829,-0.00700775166654004
"164","F20","NP","NOT-SUBPLOTS",9,5.39694763186667,4.85774443690001,66.8916012828747,65.1205994665843,-0.0118066787752696
"264","F20","NP","NOT-SUBPLOTS",10,4.6044121661,4.17199390946667,57.8028918130734,56.6335879884489,-0.00779535883083004
"364","F20","NP","NOT-SUBPLOTS",11,3.81187670033333,3.48624338203334,48.7141823432722,48.1465765103136,-0.00378403888639056
"165","F21","NP","NOT-SUBPLOTS",9,3.55560585860001,4.07333438070001,45.7752965435781,55.4125542165843,0.0642483844867081
"265","F21","NP","NOT-SUBPLOTS",10,2.76307039283334,3.38758385326667,36.6865870737768,46.9255427384489,0.0682597044311476
"365","F21","NP","NOT-SUBPLOTS",11,1.97053492706667,2.70183332583334,27.5978776039755,38.4385312603136,0.0722710243755871
"166","F1","NP","RESTORATION",8,4.89444646090003,4.31183000000003,61.128973175459,58.3642326732677,-0.0184316033479422
"266","F1","NP","RESTORATION",9,5.4624415225667,4.98661000000004,67.642678011086,66.7154702970302,-0.00618138476037226
"366","F1","NP","RESTORATION",10,6.03043658423337,5.66139000000005,74.156382846713,75.0667079207926,0.00606883382719749
"442","F1","NP","RESTORATION",11,6.59843164590005,6.33617000000005,80.67008768234,83.4179455445551,0.0183190524147675
"167","F2","NP","RESTORATION",8,4.62583646090001,4.04322000000002,58.048583267202,55.0398514851487,-0.0200582118803552
"267","F2","NP","RESTORATION",9,5.19383152256669,4.71800000000002,64.562288102829,63.3910891089112,-0.00780799329278532
"367","F2","NP","RESTORATION",10,5.76182658423336,5.39278000000003,71.075992938456,71.7423267326736,0.00444222529478462
"443","F2","NP","RESTORATION",11,6.32982164590003,6.06756000000004,77.5896977740829,80.0935643564361,0.0166924438823545
"168","F4","NP","RESTORATION",8,4.90094646090001,4.31833000000001,61.2035144598625,58.444678217822,-0.0183922416136038
"268","F4","NP","RESTORATION",9,5.46894152256669,4.99311000000002,67.7172192954895,66.7959158415844,-0.00614202302603398
"368","F4","NP","RESTORATION",10,6.03693658423336,5.66789000000003,74.2309241311165,75.1471534653469,0.00610819556153605
"444","F4","NP","RESTORATION",11,6.60493164590003,6.34267000000004,80.7446289667435,83.4983910891094,0.0183584141491059
"169","F6","NP","RESTORATION",8,3.28916979423335,2.70655333333335,42.719837089832,38.4969471947197,-0.0281525993007486
"269","F6","NP","RESTORATION",9,3.85716485590002,3.38133333333336,49.2335419254589,46.8481848184821,-0.0159023807131787
"369","F6","NP","RESTORATION",10,4.42515991756669,4.05611333333336,55.7472467610859,55.1994224422446,-0.00365216212560881
"445","F6","NP","RESTORATION",11,4.99315497923337,4.73089333333337,62.2609515967129,63.5506600660071,0.00859805646196108
"170","F7","NP","RESTORATION",8,6.06294646090001,5.48033000000001,74.529202533257,72.8258663366339,-0.0113555746441545
"270","F7","NP","RESTORATION",9,6.63094152256669,6.15511000000002,81.042907368884,81.1771039603963,0.000894643943415285
"370","F7","NP","RESTORATION",10,7.19893658423336,6.82989000000003,87.556612204511,89.5283415841588,0.0131448625309853
"446","F7","NP","RESTORATION",11,7.76693164590003,7.50467000000004,94.070317040138,97.8795792079213,0.0253950811185552
"171","F8","NP","RESTORATION",8,4.05783646090002,3.47522000000002,51.5348217993121,48.0101485148517,-0.0234978218964027
"271","F8","NP","RESTORATION",9,4.62583152256669,4.15000000000002,58.0485266349391,56.3613861386142,-0.0112476033088328
"371","F8","NP","RESTORATION",10,5.19382658423336,4.82478000000003,64.562231470566,64.7126237623766,0.00100261527873708
"447","F8","NP","RESTORATION",11,5.76182164590003,5.49956000000004,71.075936306193,73.0638613861391,0.013252833866307
"172","F10","NP","RESTORATION",8,4.30394646090001,3.72133000000002,54.3571841846332,51.0560643564358,-0.0220074655213156
"272","F10","NP","RESTORATION",9,4.87194152256669,4.39611000000002,60.8708890202602,59.4073019801983,-0.00975724693374573
"372","F10","NP","RESTORATION",10,5.43993658423336,5.07089000000003,67.3845938558871,67.7585396039608,0.00249297165382416
"448","F10","NP","RESTORATION",11,6.00793164590003,5.74567000000004,73.8982986915141,76.1097772277232,0.0147431902413941
"173","F12","NP","RESTORATION",8,3.71294646090001,3.13033000000001,47.5796612488533,43.7417079207922,-0.0255863555204073
"273","F12","NP","RESTORATION",9,4.28094152256668,3.80511000000002,54.0933660844803,52.0929455445547,-0.0133361369328374
"373","F12","NP","RESTORATION",10,4.84893658423336,4.47989000000003,60.6070709201073,60.4441831683172,-0.00108591834526753
