"","FARMCODE","SEASON_NR","Control_Y_FM","PK_Y_FM","NPK_Y_FM","Control_NS","PK_NS","NPK_NS","Nrec"
"415","F16",3,2.19395644283122,2.44771739130435,5.61355590062111,33.2726345725672,33.070153570004,74.4747017403602,0.276030321135708
"515","F16",4,1.98857142857143,2.29428571428571,5.54857142857142,30.6259204712813,31.3106159895151,73.6704384724186,0.28239881655269
"615","F16",5,1.78318641431164,2.14085403726708,5.48358695652173,27.9792063699954,29.5510784090262,72.8661752044769,0.288767311969671
"715","F16",6,1.57780140005185,1.98742236024845,5.41860248447204,25.3324922687094,27.7915408285372,72.0619119365352,0.295135807386653
"815","F16",7,1.37241638579207,1.83399068322981,5.35361801242235,22.6857781674235,26.0320032480483,71.2576486685935,0.301504302803634
"915","F16",8,1.16703137153228,1.68055900621118,5.28863354037266,20.0390640661376,24.2724656675594,70.4533854006518,0.307872798220616
"116","F17",0,2.15725434275344,3.32229813664596,5.07850931677018,32.7996693653793,43.0997492734629,67.8528380788388,0.16502059203584
"216","F17",1,1.95186932849365,3.16886645962733,5.01352484472049,30.1529552640934,41.340211692974,67.0485748108971,0.171389087452821
"316","F17",2,1.74648431423386,3.0154347826087,4.9485403726708,27.5062411628075,39.580674112485,66.2443115429554,0.177757582869802
"416","F17",3,1.54109929997407,2.86200310559006,4.88355590062111,24.8595270615216,37.8211365319961,65.4400482750137,0.184126078286784
"516","F17",4,1.33571428571429,2.70857142857143,4.81857142857142,22.2128129602356,36.0615989515072,64.635785007072,0.190494573703765
"616","F17",5,1.1303292714545,2.5551397515528,4.75358695652173,19.5660988589497,34.3020613710183,63.8315217391303,0.196863069120747
"716","F17",6,0.924944257194711,2.40170807453416,4.68860248447204,16.9193847576638,32.5425237905294,63.0272584711886,0.203231564537728
"816","F17",7,0.719559242934923,2.24827639751553,4.62361801242235,14.2726706563779,30.7829862100405,62.222995203247,0.20960005995471
"916","F17",8,0.514174228675136,2.0948447204969,4.55863354037266,11.625956555092,29.0234486295516,61.4187319353053,0.215968555371691
"117","F18",0,2.16439719989629,1.86801242236025,3.15279503105589,32.8917164935089,26.4221608068836,44.019740483365,0.117317197843209
"217","F18",1,1.95901218563651,1.71458074534162,3.0878105590062,30.245002392223,24.6626232263947,43.2154772154233,0.123685693260191
"317","F18",2,1.75362717137672,1.56114906832298,3.02282608695651,27.5982882909371,22.9030856459058,42.4112139474816,0.130054188677172
"417","F18",3,1.54824215711693,1.40771739130435,2.95784161490682,24.9515741896512,21.1435480654168,41.6069506795399,0.136422684094154
"517","F18",4,1.34285714285714,1.25428571428572,2.89285714285714,22.3048600883653,19.3840104849279,40.8026874115982,0.142791179511135
"617","F18",5,1.13747212859736,1.10085403726708,2.82787267080745,19.6581459870793,17.624472904439,39.9984241436565,0.149159674928117
"717","F18",6,0.932087114337569,0.947422360248449,2.76288819875776,17.0114318857934,15.8649353239501,39.1941608757148,0.155528170345098
"817","F18",7,0.726702100077782,0.793990683229816,2.69790372670807,14.3647177845075,14.1053977434612,38.3898976077731,0.16189666576208
"917","F18",8,0.521317085817994,0.640559006211182,2.63291925465838,11.7180036832216,12.3458601629723,37.5856343398314,0.168265161179061
"118","F19",0,3.67439719989629,3.57372670807453,5.33422360248446,52.3504793801069,45.983104450396,71.0176188426295,0.16689676261489
"218","F19",1,3.4690121856365,3.4202950310559,5.26923913043477,49.7037652788209,44.2235668699071,70.2133555746878,0.173265258031871
"318","F19",2,3.26362717137672,3.26686335403727,5.20425465838508,47.057051177535,42.4640292894182,69.4090923067461,0.179633753448852
"418","F19",3,3.05824215711693,3.11343167701863,5.13927018633539,44.4103370762491,40.7044917089293,68.6048290388044,0.186002248865834
"518","F19",4,2.85285714285714,2.96,5.07428571428571,41.7636229749632,38.9449541284404,67.8005657708627,0.192370744282816
"618","F19",5,2.64747212859736,2.80656832298137,5.00930124223602,39.1169088736773,37.1854165479515,66.996302502921,0.198739239699797
